name,alcohol,drugs,weapons,gambling,nudity,sexy,smoking,violence
1.jpg,0,0,1,0,0,0,0,1
2.jpg,0,0,0,0,0,0,0,0
3.jpg,1,0,0,0,0,0,0,0
5.jpg,0,0,0,0,0,0,0,0
6.jpg,0,0,0,0,0,0,0,0
7.jpg,0,0,0,0,0,0,0,0
8.jpg,0,0,0,0,0,0,0,0
9.jpg,0,0,0,0,0,0,0,0
10.jpg,0,0,0,0,0,0,0,0
11.png,0,0,0,0,0,0,0,0
12.jpg,0,0,0,0,0,0,0,0
13.jpg,0,0,0,0,0,0,0,0
14.jpg,0,0,0,0,0,0,0,0
15.jpg,0,0,0,0,0,0,0,0
16.jpg,0,0,0,0,0,0,0,0
18.jpg,0,0,0,0,0,0,0,0
19.jpg,0,0,0,0,0,0,0,0
20.jpg,0,0,0,0,0,0,0,0
21.jpg,0,0,0,0,0,0,0,0
22.jpg,0,0,0,0,0,0,0,0
23.png,0,0,0,0,0,0,0,0
24.jpg,0,0,0,0,0,0,0,0
25.jpg,1,0,0,0,0,0,0,0
26.jpg,0,0,0,0,0,0,0,0
27.jpg,0,0,0,0,0,0,0,0
28.jpg,0,0,0,0,0,0,0,0
29.jpg,0,0,0,0,0,0,0,0
30.jpg,0,0,0,0,0,0,0,0
31.jpg,0,0,0,0,0,0,0,0
32.jpg,0,0,0,0,0,0,0,0
33.jpg,0,0,0,0,0,0,0,0
34.jpg,0,0,0,0,0,0,0,0
35.png,0,0,0,0,0,0,0,0
36.jpg,1,0,0,0,0,0,0,0
37.jpg,0,0,0,0,0,0,0,0
38.jpg,0,0,0,0,0,0,0,0
39.jpg,0,0,0,0,0,0,0,0
40.jpg,0,0,0,0,0,0,0,0
42.jpg,0,0,0,0,0,0,0,0
43.jpg,0,0,0,0,0,0,0,0
44.jpg,0,0,0,0,0,0,0,0
45.jpg,0,0,0,0,0,0,0,0
46.jpg,0,0,0,0,0,0,0,0
47.jpg,1,0,0,0,0,0,0,0
48.png,0,0,0,0,0,0,0,0
49.png,0,0,0,0,0,0,0,0
50.jpg,0,0,0,0,0,0,0,0
51.jpg,0,0,0,0,0,0,0,0
52.jpg,0,0,0,0,0,0,0,0
53.jpg,0,0,0,0,0,0,0,0
54.jpg,0,0,0,0,0,0,0,0
55.jpg,0,0,0,0,0,0,0,0
56.jpg,0,0,0,0,0,0,0,0
57.jpg,0,0,0,0,0,0,0,0
58.jpg,1,0,0,0,0,0,0,0
59.jpg,0,0,0,0,0,0,0,0
60.jpg,0,0,0,0,0,0,0,0
61.png,0,0,0,0,0,0,0,0
62.jpg,0,0,0,0,0,0,0,0
63.jpg,0,0,0,0,0,0,0,0
64.jpg,0,0,0,0,0,0,0,0
65.jpg,0,0,0,0,0,0,0,0
66.jpg,0,0,0,0,0,0,0,0
